Freq.	V(n005)
3.54813389233575e-03	(-1.78114005365417e+02dB,1.79984991266203e+02°)
3.63078054770101e-03	(-1.77714005378292e+02dB,1.79984641667897e+02°)
3.71535229097172e-03	(-1.77314005391773e+02dB,1.79984283926401e+02°)
3.80189396320560e-03	(-1.76914005405890e+02dB,1.79983917852037e+02°)
3.89045144994280e-03	(-1.76514005420672e+02dB,1.79983543250707e+02°)
3.98107170553496e-03	(-1.76114005436151e+02dB,1.79983159923791e+02°)
4.07380277804112e-03	(-1.75714005452359e+02dB,1.79982767668047e+02°)
4.16869383470334e-03	(-1.75314005469331e+02dB,1.79982366275493e+02°)
4.26579518801592e-03	(-1.74914005487103e+02dB,1.79981955533308e+02°)
4.36515832240165e-03	(-1.74514005505713e+02dB,1.79981535223710e+02°)
4.46683592150962e-03	(-1.74114005525200e+02dB,1.79981105123845e+02°)
4.57088189614874e-03	(-1.73714005545605e+02dB,1.79980665005670e+02°)
4.67735141287197e-03	(-1.73314005566971e+02dB,1.79980214635827e+02°)
4.78630092322637e-03	(-1.72914005589345e+02dB,1.79979753775525e+02°)
4.89778819368445e-03	(-1.72514005612773e+02dB,1.79979282180410e+02°)
5.01187233627271e-03	(-1.72114005637305e+02dB,1.79978799600437e+02°)
5.12861383991363e-03	(-1.71714005662994e+02dB,1.79978305779734e+02°)
5.24807460249771e-03	(-1.71314005689893e+02dB,1.79977800456473e+02°)
5.37031796370251e-03	(-1.70914005718059e+02dB,1.79977283362724e+02°)
5.49540873857623e-03	(-1.70514005747554e+02dB,1.79976754224317e+02°)
5.62341325190347e-03	(-1.70114005778438e+02dB,1.79976212760697e+02°)
5.75439937337155e-03	(-1.69714005810778e+02dB,1.79975658684774e+02°)
5.88843655355587e-03	(-1.69314005844641e+02dB,1.79975091702768e+02°)
6.02559586074356e-03	(-1.68914005880101e+02dB,1.79974511514059e+02°)
6.16595001861480e-03	(-1.68514005917232e+02dB,1.79973917811024e+02°)
6.30957344480191e-03	(-1.68114005956113e+02dB,1.79973310278873e+02°)
6.45654229034654e-03	(-1.67714005996827e+02dB,1.79972688595486e+02°)
6.60693448007594e-03	(-1.67314006039459e+02dB,1.79972052431239e+02°)
6.76082975391980e-03	(-1.66914006084100e+02dB,1.79971401448829e+02°)
6.91830970918934e-03	(-1.66514006130845e+02dB,1.79970735303098e+02°)
7.07945784384136e-03	(-1.66114006179793e+02dB,1.79970053640846e+02°)
7.24435960074988e-03	(-1.65714006231048e+02dB,1.79969356100649e+02°)
7.41310241300915e-03	(-1.65314006284719e+02dB,1.79968642312661e+02°)
7.58577575029181e-03	(-1.64914006340919e+02dB,1.79967911898424e+02°)
7.76247116628689e-03	(-1.64514006399768e+02dB,1.79967164470663e+02°)
7.94328234724279e-03	(-1.64114006461390e+02dB,1.79966399633084e+02°)
8.12830516164097e-03	(-1.63714006525916e+02dB,1.79965616980159e+02°)
8.31763771102668e-03	(-1.63314006593483e+02dB,1.79964816096917e+02°)
8.51138038202373e-03	(-1.62914006664235e+02dB,1.79963996558721e+02°)
8.70963589956078e-03	(-1.62514006738321e+02dB,1.79963157931041e+02°)
8.91250938133742e-03	(-1.62114006815899e+02dB,1.79962299769228e+02°)
9.12010839355906e-03	(-1.61714006897132e+02dB,1.79961421618273e+02°)
9.33254300796988e-03	(-1.61314006982195e+02dB,1.79960523012571e+02°)
9.54992586021432e-03	(-1.60914007071266e+02dB,1.79959603475671e+02°)
9.77237220955807e-03	(-1.60514007164535e+02dB,1.79958662520024e+02°)
9.99999999999996e-03	(-1.60114007262199e+02dB,1.79957699646725e+02°)
1.02329299228075e-02	(-1.59714007364466e+02dB,1.79956714345247e+02°)
1.04712854805090e-02	(-1.59314007471553e+02dB,1.79955706093173e+02°)
1.07151930523760e-02	(-1.58914007583687e+02dB,1.79954674355915e+02°)
1.09647819614318e-02	(-1.58514007701105e+02dB,1.79953618586436e+02°)
1.12201845430196e-02	(-1.58114007824058e+02dB,1.79952538224956e+02°)
1.14815362149688e-02	(-1.57714007952805e+02dB,1.79951432698654e+02°)
1.17489755493952e-02	(-1.57314008087619e+02dB,1.79950301421370e+02°)
1.20226443461741e-02	(-1.56914008228787e+02dB,1.79949143793287e+02°)
1.23026877081238e-02	(-1.56514008376608e+02dB,1.79947959200621e+02°)
1.25892541179416e-02	(-1.56114008531396e+02dB,1.79946747015286e+02°)
1.28824955169313e-02	(-1.55714008693478e+02dB,1.79945506594571e+02°)
1.31825673855640e-02	(-1.55314008863200e+02dB,1.79944237280793e+02°)
1.34896288259165e-02	(-1.54914009040920e+02dB,1.79942938400948e+02°)
1.38038426460288e-02	(-1.54514009227016e+02dB,1.79941609266358e+02°)
1.41253754462275e-02	(-1.54114009421882e+02dB,1.79940249172303e+02°)
1.44543977074592e-02	(-1.53714009625932e+02dB,1.79938857397648e+02°)
1.47910838816820e-02	(-1.53314009839598e+02dB,1.79937433204463e+02°)
1.51356124843620e-02	(-1.52914010063334e+02dB,1.79935975837627e+02°)
1.54881661891247e-02	(-1.52514010297615e+02dB,1.79934484524432e+02°)
1.58489319246111e-02	(-1.52114010542937e+02dB,1.79932958474170e+02°)
1.62181009735892e-02	(-1.51714010799820e+02dB,1.79931396877718e+02°)
1.65958690743755e-02	(-1.51314011068810e+02dB,1.79929798907104e+02°)
1.69824365246174e-02	(-1.50914011350477e+02dB,1.79928163715071e+02°)
1.73780082874937e-02	(-1.50514011645419e+02dB,1.79926490434629e+02°)
1.77827941003891e-02	(-1.50114011954261e+02dB,1.79924778178593e+02°)
1.81970085860997e-02	(-1.49714012277658e+02dB,1.79923026039111e+02°)
1.86208713666286e-02	(-1.49314012616296e+02dB,1.79921233087188e+02°)
1.90546071796324e-02	(-1.48914012970894e+02dB,1.79919398372190e+02°)
1.94984459975804e-02	(-1.48514013342203e+02dB,1.79917520921340e+02°)
1.99526231496887e-02	(-1.48114013731012e+02dB,1.79915599739201e+02°)
2.04173794466952e-02	(-1.47714014138144e+02dB,1.79913633807154e+02°)
2.08929613085403e-02	(-1.47314014564465e+02dB,1.79911622082851e+02°)
2.13796208950222e-02	(-1.46914015010876e+02dB,1.79909563499667e+02°)
2.18776162394954e-02	(-1.46514015478327e+02dB,1.79907456966133e+02°)
2.23872113856833e-02	(-1.46114015967808e+02dB,1.79905301365355e+02°)
2.29086765276776e-02	(-1.45714016480357e+02dB,1.79903095554428e+02°)
2.34422881531991e-02	(-1.45314017017062e+02dB,1.79900838363825e+02°)
2.39883291901948e-02	(-1.44914017579061e+02dB,1.79898528596777e+02°)
2.45470891568502e-02	(-1.44514018167546e+02dB,1.79896165028642e+02°)
2.51188643150957e-02	(-1.44114018783766e+02dB,1.79893746406253e+02°)
2.57039578276885e-02	(-1.43714019429027e+02dB,1.79891271447254e+02°)
2.63026799189537e-02	(-1.43314020104698e+02dB,1.79888738839422e+02°)
2.69153480392690e-02	(-1.42914020812212e+02dB,1.79886147239969e+02°)
2.75422870333815e-02	(-1.42514021553070e+02dB,1.79883495274833e+02°)
2.81838293126444e-02	(-1.42114022328844e+02dB,1.79880781537945e+02°)
2.88403150312659e-02	(-1.41714023141179e+02dB,1.79878004590489e+02°)
2.95120922666637e-02	(-1.41314023991797e+02dB,1.79875162960137e+02°)
3.01995172040200e-02	(-1.40914024882504e+02dB,1.79872255140267e+02°)
3.09029543251357e-02	(-1.40514025815189e+02dB,1.79869279589168e+02°)
3.16227766016836e-02	(-1.40114026791829e+02dB,1.79866234729219e+02°)
3.23593656929626e-02	(-1.39714027814497e+02dB,1.79863118946056e+02°)
3.31131121482589e-02	(-1.39314028885361e+02dB,1.79859930587712e+02°)
3.38844156139201e-02	(-1.38914030006693e+02dB,1.79856667963748e+02°)
3.46736850452530e-02	(-1.38514031180872e+02dB,1.79853329344352e+02°)
3.54813389233573e-02	(-1.38114032410388e+02dB,1.79849912959422e+02°)
3.63078054770099e-02	(-1.37714033697849e+02dB,1.79846416997631e+02°)
3.71535229097170e-02	(-1.37314035045985e+02dB,1.79842839605466e+02°)
3.80189396320559e-02	(-1.36914036457657e+02dB,1.79839178886242e+02°)
3.89045144994278e-02	(-1.36514037935858e+02dB,1.79835432899104e+02°)
3.98107170553495e-02	(-1.36114039483724e+02dB,1.79831599657990e+02°)
4.07380277804110e-02	(-1.35714041104538e+02dB,1.79827677130587e+02°)
4.16869383470333e-02	(-1.35314042801739e+02dB,1.79823663237247e+02°)
4.26579518801590e-02	(-1.34914044578925e+02dB,1.79819555849889e+02°)
4.36515832240163e-02	(-1.34514046439866e+02dB,1.79815352790868e+02°)
4.46683592150960e-02	(-1.34114048388510e+02dB,1.79811051831827e+02°)
4.57088189614872e-02	(-1.33714050428990e+02dB,1.79806650692509e+02°)
4.67735141287195e-02	(-1.33314052565634e+02dB,1.79802147039555e+02°)
4.78630092322635e-02	(-1.32914054802974e+02dB,1.79797538485262e+02°)
4.89778819368443e-02	(-1.32514057145755e+02dB,1.79792822586323e+02°)
5.01187233627269e-02	(-1.32114059598946e+02dB,1.79787996842530e+02°)
5.12861383991362e-02	(-1.31714062167752e+02dB,1.79783058695449e+02°)
5.24807460249769e-02	(-1.31314064857620e+02dB,1.79778005527066e+02°)
5.37031796370249e-02	(-1.30914067674255e+02dB,1.79772834658400e+02°)
5.49540873857621e-02	(-1.30514070623633e+02dB,1.79767543348083e+02°)
5.62341325190346e-02	(-1.30114073712008e+02dB,1.79762128790908e+02°)
5.75439937337153e-02	(-1.29714076945932e+02dB,1.79756588116343e+02°)
5.88843655355585e-02	(-1.29314080332263e+02dB,1.79750918387014e+02°)
6.02559586074354e-02	(-1.28914083878184e+02dB,1.79745116597142e+02°)
6.16595001861478e-02	(-1.28514087591216e+02dB,1.79739179670960e+02°)
6.30957344480189e-02	(-1.28114091479235e+02dB,1.79733104461076e+02°)
6.45654229034651e-02	(-1.27714095550487e+02dB,1.79726887746813e+02°)
6.60693448007592e-02	(-1.27314099813607e+02dB,1.79720526232499e+02°)
6.76082975391978e-02	(-1.26914104277637e+02dB,1.79714016545724e+02°)
6.91830970918932e-02	(-1.26514108952045e+02dB,1.79707355235554e+02°)
7.07945784384133e-02	(-1.26114113846746e+02dB,1.79700538770705e+02°)
7.24435960074985e-02	(-1.25714118972121e+02dB,1.79693563537674e+02°)
7.41310241300913e-02	(-1.25314124339042e+02dB,1.79686425838824e+02°)
7.58577575029179e-02	(-1.24914129958890e+02dB,1.79679121890427e+02°)
7.76247116628687e-02	(-1.24514135843586e+02dB,1.79671647820666e+02°)
7.94328234724276e-02	(-1.24114142005610e+02dB,1.79663999667579e+02°)
8.12830516164094e-02	(-1.23714148458033e+02dB,1.79656173376971e+02°)
8.31763771102666e-02	(-1.23314155214539e+02dB,1.79648164800261e+02°)
8.51138038202371e-02	(-1.22914162289457e+02dB,1.79639969692291e+02°)
8.70963589956075e-02	(-1.22514169697794e+02dB,1.79631583709080e+02°)
8.91250938133740e-02	(-1.22114177455262e+02dB,1.79623002405529e+02°)
9.12010839355904e-02	(-1.21714185578313e+02dB,1.79614221233064e+02°)
9.33254300796985e-02	(-1.21314194084176e+02dB,1.79605235537237e+02°)
9.54992586021430e-02	(-1.20914202990889e+02dB,1.79596040555260e+02°)
9.77237220955804e-02	(-1.20514212317344e+02dB,1.79586631413491e+02°)
9.99999999999993e-02	(-1.20114222083320e+02dB,1.79577003124857e+02°)
1.02329299228075e-01	(-1.19714232309528e+02dB,1.79567150586214e+02°)
1.04712854805089e-01	(-1.19314243017657e+02dB,1.79557068575658e+02°)
1.07151930523760e-01	(-1.18914254230416e+02dB,1.79546751749759e+02°)
1.09647819614318e-01	(-1.18514265971586e+02dB,1.79536194640744e+02°)
1.12201845430196e-01	(-1.18114278266066e+02dB,1.79525391653603e+02°)
1.14815362149687e-01	(-1.17714291139930e+02dB,1.79514337063139e+02°)
1.17489755493952e-01	(-1.17314304620479e+02dB,1.79503025010946e+02°)
1.20226443461740e-01	(-1.16914318736303e+02dB,1.79491449502310e+02°)
1.23026877081237e-01	(-1.16514333517336e+02dB,1.79479604403055e+02°)
1.25892541179416e-01	(-1.16114348994924e+02dB,1.79467483436298e+02°)
1.28824955169312e-01	(-1.15714365201889e+02dB,1.79455080179140e+02°)
1.31825673855640e-01	(-1.15314382172601e+02dB,1.79442388059283e+02°)
1.34896288259164e-01	(-1.14914399943046e+02dB,1.79429400351558e+02°)
1.38038426460287e-01	(-1.14514418550909e+02dB,1.79416110174385e+02°)
1.41253754462274e-01	(-1.14114438035649e+02dB,1.79402510486146e+02°)
1.44543977074592e-01	(-1.13714458438583e+02dB,1.79388594081472e+02°)
1.47910838816820e-01	(-1.13314479802976e+02dB,1.79374353587451e+02°)
1.51356124843620e-01	(-1.12914502174129e+02dB,1.79359781459746e+02°)
1.54881661891247e-01	(-1.12514525599478e+02dB,1.79344869978626e+02°)
1.58489319246110e-01	(-1.12114550128696e+02dB,1.79329611244899e+02°)
1.62181009735892e-01	(-1.11714575813793e+02dB,1.79313997175763e+02°)
1.65958690743755e-01	(-1.11314602709228e+02dB,1.79298019500553e+02°)
1.69824365246173e-01	(-1.10914630872028e+02dB,1.79281669756398e+02°)
1.73780082874936e-01	(-1.10514660361906e+02dB,1.79264939283773e+02°)
1.77827941003891e-01	(-1.10114691241385e+02dB,1.79247819221949e+02°)
1.81970085860997e-01	(-1.09714723575934e+02dB,1.79230300504351e+02°)
1.86208713666285e-01	(-1.09314757434107e+02dB,1.79212373853794e+02°)
1.90546071796323e-01	(-1.08914792887685e+02dB,1.79194029777622e+02°)
1.94984459975803e-01	(-1.08514830011829e+02dB,1.79175258562734e+02°)
1.99526231496886e-01	(-1.08114868885242e+02dB,1.79156050270495e+02°)
2.04173794466951e-01	(-1.07714909590331e+02dB,1.79136394731536e+02°)
2.08929613085402e-01	(-1.07314952213384e+02dB,1.79116281540430e+02°)
2.13796208950222e-01	(-1.06914996844754e+02dB,1.79095700050259e+02°)
2.18776162394954e-01	(-1.06515043579045e+02dB,1.79074639367046e+02°)
2.23872113856832e-01	(-1.06115092515319e+02dB,1.79053088344067e+02°)
2.29086765276776e-01	(-1.05715143757300e+02dB,1.79031035576042e+02°)
2.34422881531990e-01	(-1.05315197413596e+02dB,1.79008469393182e+02°)
2.39883291901947e-01	(-1.04915253597928e+02dB,1.78985377855118e+02°)
2.45470891568501e-01	(-1.04515312429369e+02dB,1.78961748744680e+02°)
2.51188643150956e-01	(-1.04115374032601e+02dB,1.78937569561549e+02°)
2.57039578276884e-01	(-1.03715438538171e+02dB,1.78912827515763e+02°)
2.63026799189536e-01	(-1.03315506082771e+02dB,1.78887509521076e+02°)
2.69153480392689e-01	(-1.02915576809530e+02dB,1.78861602188179e+02°)
2.75422870333815e-01	(-1.02515650868309e+02dB,1.78835091817760e+02°)
2.81838293126443e-01	(-1.02115728416022e+02dB,1.78807964393421e+02°)
2.88403150312658e-01	(-1.01715809616969e+02dB,1.78780205574434e+02°)
2.95120922666636e-01	(-1.01315894643178e+02dB,1.78751800688343e+02°)
3.01995172040199e-01	(-1.00915983674771e+02dB,1.78722734723397e+02°)
3.09029543251357e-01	(-1.00516076900347e+02dB,1.78692992320827e+02°)
3.16227766016835e-01	(-1.00116174517372e+02dB,1.78662557766952e+02°)
3.23593656929626e-01	(-9.97162767326046e+01dB,1.78631414985113e+02°)
3.31131121482588e-01	(-9.93163837625246e+01dB,1.78599547527437e+02°)
3.38844156139200e-01	(-9.89164958337939e+01dB,1.78566938566422e+02°)
3.46736850452529e-01	(-9.85166131837327e+01dB,1.78533570886342e+02°)
3.54813389233573e-01	(-9.81167360608192e+01dB,1.78499426874475e+02°)
3.63078054770098e-01	(-9.77168647252137e+01dB,1.78464488512138e+02°)
3.71535229097170e-01	(-9.73169994493057e+01dB,1.78428737365540e+02°)
3.80189396320558e-01	(-9.69171405182878e+01dB,1.78392154576437e+02°)
3.89045144994277e-01	(-9.65172882307554e+01dB,1.78354720852604e+02°)
3.98107170553494e-01	(-9.61174428993348e+01dB,1.78316416458094e+02°)
4.07380277804109e-01	(-9.57176048513405e+01dB,1.78277221203312e+02°)
4.16869383470332e-01	(-9.53177744294632e+01dB,1.78237114434878e+02°)
4.26579518801589e-01	(-9.49179519924892e+01dB,1.78196075025288e+02°)
4.36515832240162e-01	(-9.45181379160543e+01dB,1.78154081362364e+02°)
4.46683592150959e-01	(-9.41183325934317e+01dB,1.78111111338499e+02°)
4.57088189614871e-01	(-9.37185364363571e+01dB,1.78067142339680e+02°)
4.67735141287194e-01	(-9.33187498758919e+01dB,1.78022151234307e+02°)
4.78630092322634e-01	(-9.29189733633260e+01dB,1.77976114361788e+02°)
4.89778819368442e-01	(-9.25192073711236e+01dB,1.77929007520914e+02°)
5.01187233627268e-01	(-9.21194523939113e+01dB,1.77880805958016e+02°)
5.12861383991360e-01	(-9.17197089495128e+01dB,1.77831484354900e+02°)
5.24807460249768e-01	(-9.13199775800315e+01dB,1.77781016816552e+02°)
5.37031796370248e-01	(-9.09202588529822e+01dB,1.77729376858627e+02°)
5.49540873857620e-01	(-9.05205533624758e+01dB,1.77676537394700e+02°)
5.62341325190344e-01	(-9.01208617304586e+01dB,1.77622470723301e+02°)
5.75439937337152e-01	(-8.97211846080077e+01dB,1.77567148514717e+02°)
5.88843655355584e-01	(-8.93215226766873e+01dB,1.77510541797566e+02°)
6.02559586074352e-01	(-8.89218766499658e+01dB,1.77452620945146e+02°)
6.16595001861477e-01	(-8.85222472746992e+01dB,1.77393355661556e+02°)
6.30957344480188e-01	(-8.81226353326812e+01dB,1.77332714967596e+02°)
6.45654229034650e-01	(-8.77230416422656e+01dB,1.77270667186437e+02°)
6.60693448007590e-01	(-8.73234670600609e+01dB,1.77207179929072e+02°)
6.76082975391976e-01	(-8.69239124827041e+01dB,1.77142220079553e+02°)
6.91830970918930e-01	(-8.65243788487135e+01dB,1.77075753780004e+02°)
7.07945784384132e-01	(-8.61248671404274e+01dB,1.77007746415433e+02°)
7.24435960074984e-01	(-8.57253783860288e+01dB,1.76938162598323e+02°)
7.41310241300911e-01	(-8.53259136616633e+01dB,1.76866966153040e+02°)
7.58577575029177e-01	(-8.49264740936521e+01dB,1.76794120100025e+02°)
7.76247116628685e-01	(-8.45270608608047e+01dB,1.76719586639820e+02°)
7.94328234724274e-01	(-8.41276751968354e+01dB,1.76643327136896e+02°)
8.12830516164092e-01	(-8.37283183928890e+01dB,1.76565302103320e+02°)
8.31763771102663e-01	(-8.33289918001790e+01dB,1.76485471182259e+02°)
8.51138038202369e-01	(-8.29296968327438e+01dB,1.76403793131338e+02°)
8.70963589956073e-01	(-8.25304349703252e+01dB,1.76320225805854e+02°)
8.91250938133737e-01	(-8.21312077613759e+01dB,1.76234726141882e+02°)
9.12010839355901e-01	(-8.17320168261988e+01dB,1.76147250139257e+02°)
9.33254300796982e-01	(-8.13328638602262e+01dB,1.76057752844485e+02°)
9.54992586021427e-01	(-8.09337506374420e+01dB,1.75966188333571e+02°)
9.77237220955801e-01	(-8.05346790139551e+01dB,1.75872509694804e+02°)
9.99999999999990e-01	(-8.01356509317285e+01dB,1.75776669011514e+02°)
1.02329299228074e+00	(-7.97366684224704e+01dB,1.75678617344827e+02°)
1.04712854805089e+00	(-7.93377336116946e+01dB,1.75578304716448e+02°)
1.07151930523760e+00	(-7.89388487229560e+01dB,1.75475680091498e+02°)
1.09647819614317e+00	(-7.85400160822678e+01dB,1.75370691361437e+02°)
1.12201845430195e+00	(-7.81412381227080e+01dB,1.75263285327110e+02°)
1.14815362149687e+00	(-7.77425173892223e+01dB,1.75153407681954e+02°)
1.17489755493952e+00	(-7.73438565436294e+01dB,1.75041002995407e+02°)
1.20226443461740e+00	(-7.69452583698383e+01dB,1.74926014696558e+02°)
1.23026877081237e+00	(-7.65467257792829e+01dB,1.74808385058091e+02°)
1.25892541179415e+00	(-7.61482618165834e+01dB,1.74688055180580e+02°)
1.28824955169312e+00	(-7.57498696654418e+01dB,1.74564964977170e+02°)
1.31825673855639e+00	(-7.53515526547787e+01dB,1.74439053158731e+02°)
1.34896288259164e+00	(-7.49533142651209e+01dB,1.74310257219528e+02°)
1.38038426460287e+00	(-7.45551581352468e+01dB,1.74178513423484e+02°)
1.41253754462274e+00	(-7.41570880690984e+01dB,1.74043756791110e+02°)
1.44543977074591e+00	(-7.37591080429685e+01dB,1.73905921087180e+02°)
1.47910838816819e+00	(-7.33612222129700e+01dB,1.73764938809238e+02°)
1.51356124843619e+00	(-7.29634349227973e+01dB,1.73620741177018e+02°)
1.54881661891247e+00	(-7.25657507117867e+01dB,1.73473258122892e+02°)
1.58489319246110e+00	(-7.21681743232846e+01dB,1.73322418283431e+02°)
1.62181009735891e+00	(-7.17707107133309e+01dB,1.73168148992199e+02°)
1.65958690743754e+00	(-7.13733650596656e+01dB,1.73010376273897e+02°)
1.69824365246173e+00	(-7.09761427710666e+01dB,1.72849024839977e+02°)
1.73780082874936e+00	(-7.05790494970243e+01dB,1.72684018085869e+02°)
1.77827941003890e+00	(-7.01820911377617e+01dB,1.72515278089942e+02°)
1.81970085860996e+00	(-6.97852738546049e+01dB,1.72342725614381e+02°)
1.86208713666285e+00	(-6.93886040807104e+01dB,1.72166280108103e+02°)
1.90546071796323e+00	(-6.89920885321540e+01dB,1.71985859711906e+02°)
1.94984459975802e+00	(-6.85957342193858e+01dB,1.71801381266018e+02°)
1.99526231496886e+00	(-6.81995484590552e+01dB,1.71612760320232e+02°)
2.04173794466951e+00	(-6.78035388862073e+01dB,1.71419911146838e+02°)
2.08929613085402e+00	(-6.74077134668536e+01dB,1.71222746756533e+02°)
2.13796208950221e+00	(-6.70120805109165e+01dB,1.71021178917567e+02°)
2.18776162394953e+00	(-6.66166486855463e+01dB,1.70815118178318e+02°)
2.23872113856832e+00	(-6.62214270288077e+01dB,1.70604473893559e+02°)
2.29086765276775e+00	(-6.58264249637330e+01dB,1.70389154254673e+02°)
2.34422881531990e+00	(-6.54316523127331e+01dB,1.70169066324056e+02°)
2.39883291901946e+00	(-6.50371193123604e+01dB,1.69944116074017e+02°)
2.45470891568500e+00	(-6.46428366284103e+01dB,1.69714208430433e+02°)
2.51188643150955e+00	(-6.42488153713504e+01dB,1.69479247321479e+02°)
2.57039578276884e+00	(-6.38550671120594e+01dB,1.69239135731726e+02°)
2.63026799189535e+00	(-6.34616038978569e+01dB,1.68993775761940e+02°)
2.69153480392689e+00	(-6.30684382688027e+01dB,1.68743068694908e+02°)
2.75422870333814e+00	(-6.26755832742375e+01dB,1.68486915067627e+02°)
2.81838293126442e+00	(-6.22830524895370e+01dB,1.68225214750207e+02°)
2.88403150312657e+00	(-6.18908600330434e+01dB,1.67957867031851e+02°)
2.95120922666635e+00	(-6.14990205831369e+01dB,1.67684770714266e+02°)
3.01995172040198e+00	(-6.11075493954028e+01dB,1.67405824212876e+02°)
3.09029543251355e+00	(-6.07164623198457e+01dB,1.67120925666211e+02°)
3.16227766016834e+00	(-6.03257758180967e+01dB,1.66829973053845e+02°)
3.23593656929624e+00	(-5.99355069805530e+01dB,1.66532864323256e+02°)
3.31131121482587e+00	(-5.95456735433841e+01dB,1.66229497525975e+02°)
3.38844156139199e+00	(-5.91562939053312e+01dB,1.65919770963398e+02°)
3.46736850452528e+00	(-5.87673871442207e+01dB,1.65603583342603e+02°)
3.54813389233571e+00	(-5.83789730331044e+01dB,1.65280833942531e+02°)
3.63078054770097e+00	(-5.79910720559318e+01dB,1.64951422790846e+02°)
3.71535229097168e+00	(-5.76037054226540e+01dB,1.64615250851791e+02°)
